,player_name,team_name,role_label,possessions,ball_progression,chance_creation,shot_xg,total_attacking_value
26,Millie Turner,Manchester United Women,Wide players (FB/W),31,-0.09760000213646039,0.0021000000415369,0.0,-0.09550000209492349
50,Ceri Holland,FC Liverpool Women,Wide players (FB/W),8,-0.016982000233838,0.0011399999493733,0.0,-0.0158420002844647
55,Johanna Rytting Kaneryd,FC Chelsea Women,Wide players (FB/W),5,-0.0144059999729503,0.0,0.0,-0.0144059999729503
110,Jana Fernández Velasco,London City Lionesses,Wide players (FB/W),7,-0.0143410001473963,0.0,0.0,-0.0143410001473963
12,Kirsty Hanson,Aston Villa Women,Wide players (FB/W),3,-0.0111960000358521,0.0,0.0,-0.0111960000358521
123,Julia Roddar,London City Lionesses,Deep defenders,5,-0.0117059996555325,0.0010499999625608,0.0,-0.0106559996929717
3,Beth Mead,FC Arsenal Women,Wide players (FB/W),5,-0.009714000043459101,0.0,0.0,-0.009714000043459101
116,María Francesca Caldentey Oliver,FC Arsenal Women,Wide players (FB/W),7,-0.0085769997967871,0.0,0.0,-0.0085769997967871
75,Maisie Symonds,Brighton & Hove Albion Women,Wide players (FB/W),9,-0.007800999983373575,0.0,0.0,-0.007800999983373575
159,Oona Siren,West Ham United Women,Deep defenders,7,-0.0071810001609264,0.0,0.0,-0.0071810001609264
134,Emily Fox,FC Arsenal Women,Wide players (FB/W),6,-0.0061880000030213,0.0,0.0,-0.0061880000030213
0,Leah Williamson,FC Arsenal Women,Deep defenders,8,-0.0052909999722031,0.0,0.0,-0.0052909999722031
56,Jelena Čanković,Brighton & Hove Albion Women,Wide players (FB/W),8,-0.0043339999829185,0.0,0.0,-0.0043339999829185
92,Clare Wheeler,FC Everton Women,Deep defenders,7,-0.0037679999950341126,0.0,0.0,-0.0037679999950341126
61,Saki Kumagai,London City Lionesses,Deep defenders,7,-0.0036509999190456,0.0,0.0,-0.0036509999190456
4,Kim Little,FC Arsenal Women,Wide players (FB/W),5,-0.0035679999273269,0.0,0.0,-0.0035679999273269
101,Sandy Baltimore,FC Chelsea Women,Wide players (FB/W),4,-0.0029760000179521002,0.0,0.0,-0.0029760000179521002
95,Ellie Carpenter,FC Chelsea Women,Wide players (FB/W),5,-0.0023820000169506,0.0,0.0,-0.0023820000169506
146,Marisa Olislagers,Brighton & Hove Albion Women,Wide players (FB/W),3,-0.0017530000186524,0.0,0.0,-0.0017530000186524
167,Yu Endo,West Ham United Women,Deep defenders,6,-0.0041280000150436,0.0027099999133497,0.0,-0.0014180001016938998
