,player_name,team_name,role_label,possessions,prog_per100pos,xa_per100pos,xg_per100pos,total_per100pos
27,Leah Galton,Manchester United Women,Attackers / chance+shot heavy,44,0.9615068191124029,2.073181852690387,1.3847727328538892,4.419461404656679
126,Anna Sandberg,Manchester United Women,Central progressors/creators,459,0.34297581759463847,0.6060653506309719,0.04916557705350429,0.9982067452791146
48,Jess Park,Manchester United Women,Central progressors/creators,340,0.2688488233418293,0.5129176476903532,0.508017646258368,1.2897841172905504
22,Julia Zigiotti Olme,Manchester United Women,Central progressors/creators,434,0.25432350364132095,0.4768870852911492,0.28844931235854515,1.0196599012910152
88,Jayde Riviere,Manchester United Women,Central progressors/creators,429,0.19102237813168535,0.2711631714480071,0.050223775051690414,0.5124093246313829
64,Dominique Janssen,Manchester United Women,Central progressors/creators,547,0.18706270529106897,0.0929287008232885,0.0997477165087921,0.37973912262314957
25,Maya Le Tissier,Manchester United Women,Central progressors/creators,623,0.16503242378110541,0.06395184620785024,0.20392616107509756,0.4329104310640532
106,Fridolina Rolfö,Manchester United Women,Attackers / chance+shot heavy,237,0.16105021458150828,0.6055316454676887,1.2252953406501919,1.991877200699389
82,Lisa Naalsund,Manchester United Women,Wide players (FB/W),113,0.09835840452216643,0.17690265463511495,0.4256371672438307,0.7008982264011121
21,Elisabeth Terland,Manchester United Women,Attackers / chance+shot heavy,179,0.07755195136614948,0.9459497200750462,2.729463697978238,3.752965369419434
46,Gabrielle George,Manchester United Women,Wide players (FB/W),81,0.07622962827250988,0.07218518409372036,0.0,0.14841481236623028
84,Gemma Bonner,FC Liverpool Women,Deep defenders,8,0.05690000120921375,0.0,0.0,0.05690000120921375
24,Hannah Blundell,Manchester United Women,Wide players (FB/W),47,0.039225533924145115,0.06961702193291937,0.1808085181611649,0.28965107401822937
148,Kirsty MacLean,FC Liverpool Women,Deep defenders,2,0.035300001036369995,0.0,0.0,0.035300001036369995
140,Hinata Miyazawa,Manchester United Women,Central progressors/creators,468,0.031519870932384675,0.13186965893238042,0.0665641035566217,0.2299536334213868
